ACER,ALCATEL,ALLVIEW,AMAZON,AOC,AMOI,APPLE,ARCHOS,ASUS,AT&T,BENEFON,BENQ,BENQ-SIEMENS,BIRD,BLACKBERRY,BLACK VIEW,BLU,BOSCH,BQ,CASIO,CAT,CELKON,CHEA,COOLPAD ,DELL,EMPORIA,ENERGIZER,ERICSSON,ETEN,FUJITSU SIEMENS,GARMIN-AUS,GIGABYTE,GIONEE,GOGGLE,HAIER,HONOR,HP,HTC,HUAWEI,I-MATE,I-MOBILE,ICEMOBILE,INFINIX,INNOSTREAM,INQ,INTEX,JOLLA,KARBONN,KYOCERA,LAVA,LEECO,LENOVO,LG,MAXON,MAXWEST,MEIZU,MICROMAX,MICROSOFT,MITAC,MITSUBISHI,MODU,MOTOROLA,MWG,NEC,NEONODE,NIU,NOKIA,NVIDIA,O2,ONEPLUS,OPPO,ORANGE,PALM,PANASONIC,PANTAECH,PARLA,PHILIPS,PLUM,POSH,PRESTIGO,QMOBILE,QTEK,RAZER,REALME,SAGEM,SAMSUNG,SENDO,SEWON,SHARP,SIEMENS,SONIM,SONY,SONY ERICSSON,SPICE,T-MOBILE,TCL,TECNO,TEL.ME.,TELIT,THURAYA,TOSHIBA,ULEFONE,UNNECTO,VERTU,VERYKOOL,VIVO,VK MOBILE,VODAFONE,WIKO,WND,XCUTE,XIAOMI,XOLO,YEZZ,YOTA,YU,ZTE
Liquid C1,1x (2019),AX4 Nano,,,F320,iPhone 6,Diamond 2 Plus,P750,,,S660C,SF71,S1180c,Classic Non Camera,,Cubo,,,,,A43,,Note 5,,,Hardcase H10,R380,,,,GSmart GS202,Gpad G2,,M300,5c,Pro Slate 8,Desire 12+,Ascend G7,SP5,Hitz 232CG,Gprime Extreme,S5,,,,,K1+ Stereo,,A89,,A60+,Aristo 2,MX-C20,Nitro 5.5,M3e,A190 Canvas HD Plus,Lumia 850,,Trium Sirius,,A840,,e540/N411i,,NiutekQ N108,109,,XDA II mini,,A8,,,Eluga I9,GF200,,630,Compass LTE,Titan HD E500,MultiPhone 8400 Duo,Noir A500,,,XT,MY C-3b,A717,,SRD-3000,Aquos S2,C35,,Xperia C3 Dual,S003,M-5390 Boss Double XL,myTouch 3G 1.2,,Pop 1 Pro,,T510,,Thrive 7,,Quattro V,,i315N,V15,VK560,710,Pulp 4G,,,Mi 8,Hive 8X-1000,Andy 5E LTE,,,Blade 10 Prime
Liquid E,3 (2019),AX501Q,,,F620,iPhone 6 Plus,Diamond Alpha,P835,,,S670C,SL80,S1186,Curve 3G 9300,,Dash,,,,,A518,,Note 5 Lite,,,Hardcase H240S,R520m,,,,GSmart Guru,Gpad G3,,M306,5X,Slate 17,Desire 12s,Ascend G700,SPJAS,i858,Gravity 4.0,S5 lite,,,,,K101+ Media Champ,,A97,,A6000,Axis,MX-C60,Nitro 55 LTE,M3s,A240 Canvas Doodle 2,Lumia 950,,Trium xs,,A910,,e606,,Pana 3G TV N206,110,,XDA IIi,,A83,,,Eluga Icon,GF500,,636,Dazzle,Titan Max HD E550,MultiPhone 8500 Duo,Noir A550,,,XT 730G,MY C-3s,A727,,SRS-3300,Aquos S3,C35i,,Xperia C4,S302,M-5400 Boss TV,myTouch 3G Fender Edition,,Pop 1s,,t550,,TS10,,Quattro X,,i316,V15 Pro,VK570,716,Pulp Fab,,,Mi 8 Explorer,LT2000,Andy 5E2I,,,Blade 20
Liquid E1,3c,C5 Smiley,,,F99b,,Diamond Alpha +,PadFone,,,S680C,SL91,S1190,Curve 3G 9330,,Dash 3.2,,,,,A59,,Note 6,,,Hardcase H241,R600,,,,GSmart Guru (White Edition),Gpad G4,,M320+,6 Plus,Slate 7,Desire 19+,Ascend G730,SPL,TV 523,Gravity Pro,Smart,,,,,K102+ Flair,,A97 2GB+,,A6000 Plus,B1200,MX-C80,Nitro 55M,M3x,A25,Lumia 950 Dual SIM,,,,A920,,e616,,Pana N105,111,,XDA IIs,,A9,,,Eluga L 4G,GI100,,639,Flipper,Titan Max HD E600,,Noir A6,,,,MY C-4,A737,,,Aquos S3 High,C45,,Xperia C4 Dual,S312,M-5454,myTouch 3G Slide,,Pop 2 F,,t650,,TS32,,Quattro Z,,i320,V17 (China),VK580,725,Pulp Fab 4G,,,Mi 8 Lite,LT900,Andy 5E3,,,Blade A2
Liquid E2,3L,E2 Jump,,,H8,,Diamond Gamma,PadFone 2,,,S700,EF51,S198,Curve 8300,,Dash 3.5,,,,,A60,,NX1,,,Hardcase H242,S 868,,,,GSmart Guru GX,Gpad G5,,M600 Black Pearl,6A (Pro),Slate10 HD,Desire 19s,Ascend G740,Ultimate 5150,TV 530,Hurricane II,Smart 2,,,,,K11+,,Flair E2,,A6010,B2000,MX-C90,Nitro 5M,M5,A28 Bolt,Lumia 950 XL,,,,A925,,e636,,Pana TV N106,112,,XDA mini S,,A9 (2020),,,Eluga L2,Hotshot,,650,Flipper (2018),Ultra 5.0 LTE L500,,Noir A75,,,,MY C4-2,A746,,,Aquos S3 mini,C55,,Xperia C5 Ultra,S500,M-5455 Flo,myTouch 4G,,Pop 2 Plus,,t800,,TS605,,Rush,,i330 Sunray,V17 (India),VK610,735,Rainbow,,,Mi 8 Pro,Omega 5.0,Andy 5E5,,,Blade A2 Plus
Liquid E3,3L (2020),E3 Living,,,H80,,Diamond Omega,PadFone Infinity,,,S80,,S199,Curve 8310,,Dash 4.0,,,,,A63,,Porto,,,Hardcase H242S,SH 888,,,,GSmart GX2,M2017,,M80,6C Pro,Slate6 VoiceTab,Desire 200,Ascend GX1,Ultimate 6150,TV 533,Hydro,Smart 2 HD,,,,,K309 Boombastic,,Flair P1i,,A6010 Plus,B2050,MX-E10,Nitro Phablet 71,M5 Note,A290 Canvas Knight Cameo,Lumia 950 XL Dual SIM,,,,Accompli 008,,e808,,Tek 4D2,113,,XDA Neo,,A91,,,Eluga Mark,Impact,,655,Flipper 2,Ultra Max LTE L550,,Noir A750,,,,MY C5-2,A767 Propel,,,Aquos SH80F,C60,,Xperia C5 Ultra Dual,S600,M-5460 Flo,myTouch 4G Slide,,Pop 3 Plus,,T90,,TS608,,Shell,,i410,V17 Neo,VK700,736,Rainbow 4G,,,Mi 8 SE,Omega 5.5,Andy 5EI,,,Blade A3
Liquid E3 Duo Plus,3v,E3 Sign,,,H801,,Diamond Plus,PadFone Infinity 2,,,T3,,S288,Curve 8320,,Dash 4.5,,,,,A64,,Porto S,,,Hardcase H280S,T10s,,,,GSmart i,M6,,N60,6X,Slate6 VoiceTab II,Desire 210 dual sim,Ascend II,Ultimate 7150,TV 535,Mash,Smart 2 Pro,,,,,K36+ Jumbo Mini,,Flair Z1,,A606,B2070,MX-E80,Orbit 3000,M5c,A300 Canvas Gold,Surface,,,,Accompli 009,,e808y,,Tek 5D,114,,XDA Nova,,A9x,,,Eluga Mark 2,Jest,,659,Flix,Volt LTE L540,,Noir A8i,,,,MY C5-3,A777,,,Aquos SH8298U,C62,,Xperia C670X,S700,M-5566 Flo Entertainer,myTouch Q,,Pouvoir 1,,T91,,TS705,,Swift,,i600,V17 Pro,VK7000,810,Rainbow Jam,,,Mi 9,One,Andy 5EI3,,,Blade A3 (2019)
Liquid E600,3v (2019),E4,,,H802,,Diamond S,PadFone Infinity Lite,,,T33,,S288 Plus,Curve 8330,,Dash 4.5 (2016),,,,,A66,,Roar,,,Hardcase H500S,T18s,,,,GSmart i (128),M6 Plus,,N70,7A,Slate7 Extreme,Desire 300,Ascend Mate,Ultimate 8150,TV 536,Prime,Smart 4,,,,,K4+ Titan,,Fuel F1,,A616,B2100,MX-V10,Orbit 330G,M5s,A310 Canvas Nitro,Surface 2,,,,Accompli 388,,e949/L1,,Z10,130,,XDA Orbit,,F1,,,Eluga Note,Jest II,,680,Galactic,Volt Max LTE L640,,Noir A950,,,,MY C-5w,A797 Flight,,,Aquos V,C65,,Xperia E,S710,M-5600 FLO TV,myTouch Q 2,,Pouvoir 2,,X60i,,TS803,,Tap,,i601,V3,VK800,835,Rainbow Jam 4G,,,Mi 9 Explorer,One HD,Andy 5EI3 (2016),,,Blade A410
Liquid E700,3x,Impera i,,,H810,,Oxygen 57,PadFone mini,,,T51,,S296,Curve 8900,,Dash 5.0,,,,,A67,,Shine,,,Hardcase H501S,T20e,,,,GSmart i120,M6s Plus,,N90,7C,Slate7 Plus,Desire 310,Ascend Mate2 4G,Ultimate 8502,TV 620,Prime 3.5,Smart 4c,,,,,K440,,Icon,,A630,B2150,MX-V30,Orbit 4400,M6,A350 Canvas Knight,,,,,Admiral XT603,,G9D+,,,150,,XDA Orbit II,,F1 Plus,,,Eluga Power,Laser P9050,,692,Gator,,,Noir E2,,,,MY C-6,A800,,,Aquos Xx,C72,,Xperia E dual,Satio (Idou),M-5665 T2,myTouch qwerty,,Pouvoir 2 Pro,,,,TS808,,,,i603,V3Max,VK900,840,Rainbow Lite 4G,,,Mi 9 Lite,Opus 3,Andy 5EL LTE,,,Blade A452
Liquid Express E320,3x (2019),Impera S,,,H812,,Oxygen 63,PadFone mini (Intel),,,T60,,S299,Curve 8980,,Dash C Music,,,,,A69,,Torino,,,Hardcase H550S,T20s,,,,GSmart i300,M7,,P5,7i,Slate7 VoiceTab,Desire 310 dual sim,Ascend Mate7,Ultimate 9150,TV 626,Prime 4.0,Smart3 Plus,,,,,K451+ Sound Wave,,Iris 250,,A65,B2250,,Orbit 4600,M6 Note,A36 Bolt,,,,,ATRIX,,N100,,,206,,XDA Orion,,F11,,,Eluga Pulse,Link,,755,Gator 3,,,Noir E8,,,,MY G5,A817 Solstice II,,,Aquos Zero,C75,,Xperia E1,Spiro,M-5750,Prism,,Pouvoir 3,,,,TS921,,,,i604,V5,,845,Rainbow UP 4G,,,Mi 9 Pro,Opus HD,Andy 5M LTE,,,Blade A460
Liquid Gallant Duo,5v,L4 Class,,,H815,,Oxygen 68XL,PadFone mini 4G (Intel),,,U700,,S580,Curve 9220,,Dash G,,,,,A75,,Torino S,,,Hardcase H570S,T28 World,,,,GSmart i350,M7 Plus,,P6,7S,Slate7 VoiceTab Ultra,Desire 320,Ascend Mate7 Monarch,Ultimate 9502,TV 628,Prime 4.0 Plus,Zero 4,,,,,K52 Groovster,,Iris 310 Style,,A660,Bello II,,Orbit 5400,M6s,A45,,,,,ATRIX 2 MB865,,N109,,,207,,XDA phone,,F11 Pro,,,Eluga Pulse X,Link II,,759,Gator 4,,,Noir i10,,,,MY S-7,A827 Access,,,FX,CC75,,Xperia E1 dual,T100,M-5900 Flo TV Pro,Prism II,,Pouvoir 3 Air,,,,TX62,,,,i605,V5 Lite (vivo 1609),,945,Ridge 4G,,,Mi 9 Pro 5G,Play,Andy 5T,,,Blade A5 (2019)
Liquid Gallant E350,A3,M6 Stark,,,M33,,Saphir 50X,PadFone S,,,Z2,,S590,Curve 9350,,Dash JR,,,,,A77,,,,,Hardcase H591S,T28s,,,,GSmart M3447,M7 Power,,P7,7X,Slate8 Pro,Desire 326G dual sim,Ascend P1,SP5m,TV 630,Prime 4.5,Zero 4 Plus,,,,,K65 Buzz,,Iris 325 Style,,A6600,BL20 New Chocolate,,Orbit 5400T,M6T,A47 Bolt,,,,,ATRIX 4G,,N110,,,208,,XDA Serra,,F15,,,Eluga Ray,Marauder,,760,Gator 5,,,Noir i12,,,,MY V-55,A837 Rugby,,,GX1,CF110,,Xperia E1 II,T105,M-6 Sports,Pulse,,Pouvoir 3 Plus,,,,TX80,,,,i607,V5 Plus,,1210,Ridge Fab 4G,,,Mi 9 SE,Play 6X-1000,Andy 6Q,,,Blade A512
Liquid Glow E330,A3 XL,P1 AllDro,,,M360,,Sense 50x,PadFone X,,,M350,,S618,Curve 9360,,Dash L,,,,,A79,,,,,Power Max P16K Pro,T29s,,,,GSmart Maya M1,Marathon M4,,P8,8 Pro,TouchPad 4G,Desire 400 dual sim,Ascend P1 LTE,,TV550 Touch,Prime 5.0,Zero 5,,,,,K707 Spy II,,Iris 348,,A6600 Plus,BL40 New Chocolate,,Orbit 6200,M8c,A50 Ninja,,,,,ATRIX HD MB886,,N150,,,210,,XDA Star,,F1s,,,Eluga Ray 500,Matrix,,766,Gator Plus II,,,Noir i5,,,,MY V-56,A847 Rugby II,,,GX10,CF62,,Xperia E3,T200,M-6262,Pulse Mini,,Spark,,,,Windows Phone IS12T,,,,i610,V5s,,1231,Robby,,,Mi 9T,Play 8X-1100,Andy A3.5,,,Blade A520
Liquid Jade,A5 LED,P10 Life,,,M630,,Sense 55s,PadFone X mini,,,,,S661,Curve 9370,,Dash L2,,,,,A83,,,,,Power Max P18K Pop,T36,,,,GSmart Maya M1 v2,Marathon M5,,T3000,8A Pro,Veer,Desire 500,Ascend P1 XL U9200E,,TV650 Touch,Prime 5.0 Plus,Zero 5 Pro,,,,,K9 Jumbo,,Iris 349+,,A680,C105,,Orbit 6200T,MX,A52,,,,,ATRIX TV XT682,,N160,,,215,,XDA Stealth,,F3,,,Eluga Ray 530,Matrix Pro,,768,Genius,,,Noir i5i,,,,MY V-65,A867 Eternity,,,GX10i,CF75,,Xperia E3 Dual,T230,M-6363,Revvl,,Spark 2,,,,,,,,i625,V7,,1240,Robby2,,,Mi 9T Pro,Play 8X-1200,Andy A3.5EP,,,Blade A6
Liquid Jade 2,A7,P10 Max,,,M636,,50 Diamond,Pegasus,,,,,S663,Curve 9380,,Dash L3,,,,,A85,,,,,Power Max P20,T39,,,,GSmart Mika M2,Marathon M5 enjoy,,U53,8C,Veer 4G,Desire 501,Ascend P1s,,TV658 Touch&Move,Prime 5.5,Zero 6,,,,,KC540 Blaze,,Iris 349S,,A690,C1100,,Orbit X50,MX 4-core,A55,,,,,ATRIX TV XT687,,N200,,,216,,XDA Stellar,,F3 Plus,,,Eluga Ray 550,P1000,,855,Geo,,,Noir i6,,,,MY V-75,A877 Impression,,,GX15/GZ100,CFX65,,Xperia E4,T250,M-6450,Revvlry,,Spark 3,,,,,,,,i650,V7+,,247 Solar,Selfy 4G,,,Mi 9X,Play Tab 7.0,Andy A4,,,Blade A601
Liquid Jade Primo,A7 XL,P10 Mini,,,V810,,50 Platinum,Pegasus 2 Plus,,,,,S667,Curve Touch,,Dash L4,,,,,C605,,,,,Power Max P490,T65,,,,GSmart Mika M3,Marathon M5 lite,,U56,8S,TouchPad,Desire 501 dual sim,Ascend P2,,,Prime Plus,Zero 6 Pro,,,,,KT21 Express,,Iris 350,,A7000,C1150,,Orbit Z50,MX2,A56,,,,,Aura,,N21i,,,220,,XDA Terra,,F5,,,Eluga Ray 600,P4000,,859,Glow,,,Noir i6 Metal HD,,,,MY V-76,A886 Forever,,,GX17,CL50,,Xperia E4 Dual,T270,M-6688 Flo Magic,Revvlry+,,Spark 3 Pro,,,,,,,,i672,V9,,345 Text,Sunny,,,Mi A1 (Mi 5X),Play Tegra Note,Andy A4.5,,,Blade A610
Liquid Jade S,CareTime,V1 Viper S,,,WMA8701A,,45 Platinum,ROG Phone II ZS660KL,,,,,S768,Torch 9860,,Dash L4 LTE,,,,,C607,,,,,Power Max P490S,T66,,,,GSmart Mika MX,S11S,,U60,8X,iPAQ hw6515,Desire 510,Ascend P6,,,Quattro,,,,,,KT62,,Iris 350m,,A7000 Plus,C1200,,Tab Phone 72DC,MX3,A57 Ninja 3.0,,,,,BACKFLIP,,N223i,,,222,,XDA Trion,,F5 Youth,,,Eluga Ray 700,PG-1000s,,868,Hammer,,,Noir i7,,,,MY V-85,A887 Solstice,,,GX18,CL55,,Xperia E4g,T280,M-67 3D,Shadow,,Spark 4 Lite,,,,,,,,i674,V9 6GB,,350 Messaging,Sunny Max,,,Mi A2 (Mi 6X),Prime,Andy A4.5 1GB,,,Blade A7
Liquid Jade Z,Crystal,V2 Viper,,,WMA8703,,53 Titanium,ROG Phone ZS600KL,,,,,S758,Tour 9630,,Dash L5 LTE,,,,,C63,,,,,Power Max P550S,T68,,,,GSmart MS800,S11,,U69,8X Max,iPAQ hw6510,Desire 516 dual sim,Ascend P6 S,,,Rainbow,,,,,,S1 Titanium,,Iris 352 Flair,,A7000 Turbo,C1400,,Vice,MX4,A59 Bolt,,,,,BRAVO MB520,,N22i,,,225,,XDA Zest,,F7,,,Eluga Ray 800,PG-1200,,892,Hero,,,Noir i8,,,,MY X1-2,A897 Mythic,,,GX20,CL75,,Xperia E4g Dual,T290,M-6700,Shadow 2,,Spark CM,,,,,,,,i675,V9 Youth,,360 H1,Sunny2,,,Mi A2 Lite (Redmi 6 Pro),Q1000,Andy A4E,,,Blade A7 Prime
Liquid M220,ELLE GlamPhone,V2 Viper e,,,WMA8508,,50 Titanium,Transformer Book Trio,,,,,V5518+,Volt,,Dash M,,,,,C64,,,,,Power Max P600S,,,,,GSmart MS802,S11 lite,,V100,9 Lite,iPAQ h6325,Desire 520,Ascend P7,,,Rainbow II,,,,,,S5 Titanium,,Iris 356,,A706,C199,,Virtue Z5,MX4 Pro,A60,,,,,C113,,N331i,,,230,,XDA Zinc,,F7 Youth,,,Eluga Ray Max,PG-1300,,960,Inspire,,,Noir i9,,,,MY X-1w,A927 Flight II,,,GX22,CX65,,Xperia E5,T300,M-6800 FLO,Sidekick,,Spark Go,,,,,,,,i705,X20,,360 H2,Sunny2 Plus,,,Mi A3,Q1000 Opus,Andy A4M,,,Blade A7 Vita
Liquid M320,ELLE No 3,V2 Viper i,,,A675,,,Transformer Pad TF103C,,,,,S669,Z10,,Dash M2,,,,,Campus Nova A352E,,,,,Power Max P8100S,,,,,GSmart MS820,X1s,,V1000,9N (9i),,Desire 526,Ascend P7 mini,,,Rock,,,,,,S7 Titanium,,Iris 360 Music,,A789,C2100,,,MX5,A61 Bolt,,,,,C113a,,N341i,,,301,,Xphone IIm,,F9 (F9 Pro),,,Eluga Ray X,PG-1400,,968,Kazzom,,,Noir J7,,,,MY X-2,A997 Rugby III,,,GX25/GZ200,CX70,,Xperia go,T303,M-6868,Sidekick 3,,Spark Plus,,,,,,,,i720,X20 Plus,,360 M1,Sunny3,,,Mi CC9,Q1000 Opus2,Andy A5,,,Blade A910
Liquid M330,Evolve,W1s,,,M650,,,V55,,,,,S668,KEY2 LE,,Dash Music,,,,,Campus One A354C,,,,,Ultimate U570S,,,,,GSmart MW700,X1,,V160,9X,,Desire 526G+ dual sim,Ascend P7 Sapphire Edition,,,Rock 2.4,,,,,,S9 Titanium,,Iris 400Q,,A800,C2200,,,MX5e,A63 Canvas Fun,,,,,C115,,N342i,,,500,,XM,,Find,,,Eluga S,PG-1500,,699 Dual SIM,Might LTE,,,Noir LT150,,,,MY X2-2,Acclaim,,,GX29,CX70 Emoty,,Xperia GX SO-04D,T310,M-6868N FLO ME,Sidekick 4G,,Spark Pro,,,,,,,,i725,X20 Plus UD,,533 Crystal,Sunset2,,,Mi CC9 Pro,Q1000s,Andy A5 1GB,,,Blade Apex 3
Liquid mini E310,Evolve 2,Wi10N PRO,,,A211,,,V66,,,,,S296+,Evolve X,,Dash Music 4.0,,,,,Campus Prime,,,,,Ultimate U620S,,,,,GSmart MW702,P8 Max,,V190,9X (China),,Desire 530,Ascend Plus,,,Rock Bold,,,,,,Smart A12 Star,,Iris 400s,,A820,C2500,,,MX6,A65 Bolt,,,,,C116,,N343i,,,515,,Xphone II,,Find 5,,,Eluga S mini,PG-1600,,Azalis 238,Might Plus,,,Noir LT250,,,,MY X-3,Armani,,,GX30,CX75,,Xperia H8541,T600,M-6900 Knight,Sidekick LX,,,,,,,,,,i800,X21,,555 Blue,Tommy,,,Mi CC9e,Q1000s plus,Andy A5QP,,,Blade C V807
Liquid mt,Fierce,Wi7,,,A210,,,V75,,,,,S890,Evolve,,Dash Music JR,,,,,CT-910,,,,,Ultimate U620S Pop,,,,,GSmart MW998,S10,,V200,9X Pro (China),,Desire 600 dual sim,Ascend Q M5660,,,Rock Lite,,,,,,Sparkle V,,Iris 401,,A830,C2600,,,Note 8,A67 Bolt,,,,,C117,,N344i,,,600,,Xphone,,Find 5 Mini,,,Eluga Switch,PG-1800,,Azalis 268,Might Plus II,,,Noir LT600,,,,MY X3-2,Array M390,,,GX33,CXT65,,Xperia ion HSPA,T610,M-9000 Popkorn,Sidekick LX 2009,,,,,,,,,,R13,X21 UD,,830i,Tommy2,,,Mi Max,Q1010,Andy A6M,,,Blade D6
Liquid S1,Fierce 2,Wi8G,,,2561,,,V80,,,,,S798,KEY2,,Dash X,,,,,Glory Q5,,,,,Ultimate U630S Pop,,,,,GSmart q60,S10B,,V2000,Bee,,Desire 601,Ascend W1,,,Rock Mini,,,,,,Titanium Hexa,,Iris 401e,,A850,C299,,,Note 9,A70,,,,,C118,,N400i,,,603,,,,Find 7,,,Eluga Tapp,PG-1900,,C600,Might Pro,,,Noir LT680,,,,MY X-4,Ativ Odyssey I930,,,GX34,M30,,Xperia ion LTE,T630,M-940n,Sidekick Slide,,,,,,,,,,R16,X21i,,858 Smart,Tommy2 Plus,,,Mi Max 2,Q1010i,Andy A6M 1GB,,,Blade Force
Liquid S2,Fierce 4,X1 Soul,,,,,,V88i,,,,,S698,Motion,,Dash X LTE,,,,,Millennia Epic Q550,,,,,Ultimate U650S,,,,,GSmart Rey R3,S10C,,V280,Holly,,Desire 601 dual sim,Ascend W2,,,Shine,,,,,,Titanium Mach Two S360,,Iris 402e,,A850+,C310,,,PRO 5,A73,,,,,C123,,N401i,,,700,,,,Find 7a,,,Eluga Turbo,PG-2800,,C700,Mouse,,,Noir LT700 Pro,,,,MY X-5,Ativ S I8750,,,GX40,M35i,,Xperia J,T650,Mi-270,SpringBoard,,,,,,,,,,R23,X23,,Chat 655,U Feel Lite,,,Mi Max 3,Q1011,Andy AZ4.5,,,Blade G
Liquid X1,Fierce XL,X1 Soul Mini,,,,,,Z801,,,,,M19,Keyone,,Dash X Plus,,,,,Millennia Everest,,,,,Ultimate U710S,,,,,GSmart Rio R1,Steel 2,,V6000,Holly 2 Plus,,Desire 610,Ascend W3,,,Sol,,,,,,Titanium Octane,,Iris 404 Flair,,A859,C3100,,,PRO 5 mini,A74 Canvas Fun,,,,,C139,,N410i,,,701,,,,Find X,,,Eluga U,PG3000,,C702,Optimax 11,,,Noir LT750,,,,MY X5-2,ATIV S Neo,,,MS1,M50,,Xperia L,T68i,Mi-280,Tap,,,,,,,,,,R25,X27,,Indie,U Feel Prime,,,Mi Max 4,Q1020,Andy C5E LTE,,,Blade G Lux
Liquid X2,Fierce XL (Windows),X1 Xtreme,,,,,,Z810,,,,,V109,DTEK60,,Dash X Plus LTE,,,,,Millennia Hero,,,,,,,,,,GSmart Roma R2,P7,,V6100,Holly 3,,Desire 612,Ascend Y,,,Sol II,,,,,,Titanium Octane Plus,,Iris 404e,,A880,C320 InTouch Lady,,,Pro 6,A75,,,,,C155,,N500,,,703,,,,Find X Lamborghini,,,Eluga U2,PG-3200,,D612,Optimax 12,,,Noir M300,,,,MY X-6,ATIV SE,,,Pi,M55,,Xperia L1,T700,Mi-285 Stellar,Vairy Text,,,,,,,,,,R27,X27 Pro,,Smart 4,Ufeel,,,Mi Max 4 Pro,Q1100,Andy C5ML,,,Blade G V880G
Liquid Z110,Fire 7,X2 Soul Lite,,,,,,Zenfone 2 Deluxe ZE551ML,,,,,S799,DTEK50,,Dash X2,,,,,Millennia OCTA510,,,,,,,,,,GSmart Roma RX,S9,,V6200,Magic,,Desire 616 dual sim,Ascend Y100,,,Sol III,,,,,,Titanium S1 Plus,,Iris 405+,,A889,C3300,,,Pro 6 Plus,A76,,,,,C168,,N500i,,,1100,,,,Joy 3,,,Eluga X1 Pro,PG-3300,,D613,Optimax 13,,,Noir M90,,,,MY X6-2,Ativ Tab P8510,,,R1S,M65,,Xperia L2,T707,Mi-300,Vairy Text II,,,,,,,,,,R28 Denali,X30,,Smart 4 max,Ufeel fab,,,Mi Mix,Q1200,Andy C5QL,,,Blade G2
Liquid Z2,Fire C,X2 Soul Style,,,,,,Zenfone 2 Laser ZE500KG,,,,,S699,Priv,,Dash XL,,,,,Millennia Xplore,,,,,,,,,,GSmart S1200,P7 Max,,V700,Magic 2,,Desire 620,Ascend Y200,,,Storm,,,,,,Titanium S19,,Iris 406Q,,A916,C3310,,,Pro 6s,A77 Canvas Juice,,,,,C200,,N500iS,,,1101,,,,Joy Plus,,,Eluga Z,PG-3500,,D633,Optimax 2,,,Noir S1,,,,MY X-7,B100,,,SE-02,M75,,Xperia L3,T715,Mi-310,Vairy Touch,,,,,,,,,,R620,X30 Pro,,Smart 4 mini,Ufeel go,,,Mi Mix 2,Q2000,Andy C5V,,,Blade II V880+
Liquid Z200,Fire C 2G,X2 Xtreme,,,,,,Zenfone 2 Laser ZE500KL,,,,,V79,Leap,,Deco,,,,,Monalisa 5,,,,,,,,,,GSmart S1205,F103 Pro,,V7000,Magic 2 3D,,Desire 620G dual sim,Ascend Y201 Pro,,,Submarine,,,,,,Titanium S5 Plus,,Iris 410,,B,C3320,,,Pro 7,A78,,,,,C205,,N600,,,1110,,,,K1,,,Eluga Z1 Pro,PG-3600,,D812,Orbit,,,Noir S2,,,,MY X-8,B110,,,SH530U,MC60,,Xperia L4,TM506,Mi-349 Smart Flo Edge,Vairy Touch II,,,,,,,,,,R623,X3S,,Smart 4 power,Upulse,,,Mi Mix 2S,Q2000L,Andy C5VP,,,Blade III
Liquid Z220,Fire E,X3 Soul,,,,,,Zenfone 2 Laser ZE550KL,,,,,S789,Porsche Design P'9983,,Deco Mini,,,,,Q3000,,,,,,,,,,GSmart Saga S3,S6s,,V730,MagicWatch 2,,Desire 625,Ascend Y210D,,,Tornado II,,,,,,Titanium S99,,Iris 450 Colour,,C2,C3380,,,Pro 7 Plus,A80,,,,,C230,,N600i,,,1112,,,,K3,,,G50,PG-3600V,,D813,Panther,,,Noir S4,,,,MY Z-3,B130,,,SX862,ME45,,Xperia LT29i Hayabusa,txt,Mi-350,Vibe E200,,,,,,,,,,R80,X5,,Smart 4 turbo,Upulse lite,,,Mi Mix 3,Q2100,Andy YZ1100,,,Blade III Pro
Liquid Z3,Fire S,X4 Soul Infinity N,,,,,,Zenfone 2 Laser ZE551KL,,,,,V5510,Passport,,Deco Pro,,,,,Q3K Power,,,,,,,,,,GSmart Sierra S1,S6 Pro,,Z100,Note 10,,Desire 626,Ascend Y220,,,Tropical,,,,,,Titanium Wind W4,,Iris 460,,C2 Power,C3400,,,U10,A84,,,,,C250,,N610,,,1200,,,,K5,,,G51,PG-3900,,D822,Phantom,,,Noir S5,,,,MY Z-55,B200,,,TM100,ME75,,Xperia M,txt pro,Mi-353 Stellar Jazz,Vivacity,,,,,,,,,,R800,X5Max,,Smart 4G,View,,,Mi Mix 3 5G,Q2500,Billy 4,,,Blade L110 (A110)
Liquid Z320,Flash,V4 Viper Pro,,,,,,Zenfone 2 Laser ZE600KL,,,,,A150,Z3,,Deco XT,,,,,Q405,,,,,,,,,,GSmart Simba SX1,P5 Mini,,Z300,Note 8,,Desire 626 (USA),Ascend Y221,,,Tropical 3,,,,,,Titanium X,,Iris 465,,E156,C360,,,U20,A85,,,,,C257,,N620,,,1202,,,,Mirror 3,,,G60,PG-6100,,D833,Phantom 2,,,Noir S6 Plus,,,,my100X,B210,,,TM150,PenPhone,,Xperia M Ultra,V600,Mi-354 Smartflo Space,Wing,,,,,,,,,,R80L Granite II,X5Max Platinum Edition,,Smart E8,View Max,,,Mi Mix Alpha,Q3000,Billy 4.7,,,Blade L2
